ModulationOrder,SNR,PilotLength,PilotSpacing,SymbolRate,PhaseNoise,BER,CBER
4,0,2,16,1000000,0,0.160245,0.200875
4,0,2,16,1000000,5,0.16534,0.20426
4,0,2,16,1000000,10,0.177835,0.20744
4,0,2,16,1000000,15,0.217495,0.22456
4,0,2,16,1000000,20,0.296845,0.271355
4,0,2,16,1000000,25,0.426885,0.36624
4,0,2,16,1000000,30,0.49576,0.46473
4,0,2,16,10000000,0,0.16179,0.200515
4,0,2,16,10000000,5,0.165725,0.20183
4,0,2,16,10000000,10,0.17927,0.20357
4,0,2,16,10000000,15,0.22083,0.20616
4,0,2,16,10000000,20,0.294795,0.213575
4,0,2,16,10000000,25,0.429705,0.23868
4,0,2,16,10000000,30,0.49664,0.308685
4,0,2,16,30000000,0,0.16099,0.200285
4,0,2,16,30000000,5,0.1655,0.200905
4,0,2,16,30000000,10,0.180315,0.200185
4,0,2,16,30000000,15,0.22251,0.202305
4,0,2,16,30000000,20,0.304095,0.202635
4,0,2,16,30000000,25,0.44462,0.21254
4,0,2,16,30000000,30,0.49079,0.240935
4,0,2,16,100000000,0,0.16104,0.19851
4,0,2,16,100000000,5,0.16364,0.20013
4,0,2,16,100000000,10,0.176175,0.199175
4,0,2,16,100000000,15,0.22648,0.19931
4,0,2,16,100000000,20,0.26581,0.199485
4,0,2,16,100000000,25,0.459025,0.204695
4,0,2,16,100000000,30,0.499485,0.20684
4,0,2,16,300000000,0,0.159675,0.19944
4,0,2,16,300000000,5,0.16422,0.202455
4,0,2,16,300000000,10,0.175895,0.200795
4,0,2,16,300000000,15,0.21683,0.20156
4,0,2,16,300000000,20,0.25415,0.199615
4,0,2,16,300000000,25,0.40064,0.20219
4,0,2,16,300000000,30,0.494505,0.20163
4,0,2,16,1000000000,0,0.161985,0.20146
4,0,2,16,1000000000,5,0.16552,0.198155
4,0,2,16,1000000000,10,0.174985,0.20074
4,0,2,16,1000000000,15,0.211645,0.201155
4,0,2,16,1000000000,20,0.25728,0.199415
4,0,2,16,1000000000,25,0.368805,0.202475
4,0,2,16,1000000000,30,0.46883,0.202015
4,0,2,16,10000000000,0,0.159795,0.20181
4,0,2,16,10000000000,5,0.15954,0.20029
4,0,2,16,10000000000,10,0.16061,0.200355
4,0,2,16,10000000000,15,0.16645,0.20107
4,0,2,16,10000000000,20,0.1706,0.201335
4,0,2,16,10000000000,25,0.30604,0.20002
4,0,2,16,10000000000,30,0.326455,0.199435
4,0,2,16,30000000000,0,0.15844,0.19938
4,0,2,16,30000000000,5,0.158285,0.20056
4,0,2,16,30000000000,10,0.159545,0.20139
4,0,2,16,30000000000,15,0.161775,0.20295
4,0,2,16,30000000000,20,0.164145,0.200555
4,0,2,16,30000000000,25,0.2342,0.19917
4,0,2,16,30000000000,30,0.273425,0.202775
4,0,2,64,1000000,0,0.162363044,0.201775432
4,0,2,64,1000000,5,0.16481226,0.205909109
4,0,2,64,1000000,10,0.179752479,0.223933341
4,0,2,64,1000000,15,0.216660669,0.253648832
4,0,2,64,1000000,20,0.297989643,0.333638236
4,0,2,64,1000000,25,0.423444498,0.443578055
4,0,2,64,1000000,30,0.495146553,0.491867602
4,0,2,64,10000000,0,0.159304023,0.19890635
4,0,2,64,10000000,5,0.166976567,0.204114683
4,0,2,64,10000000,10,0.178877759,0.206568898
4,0,2,64,10000000,15,0.211682262,0.213476687
4,0,2,64,10000000,20,0.294815659,0.237798904
4,0,2,64,10000000,25,0.437290067,0.300888716
4,0,2,64,10000000,30,0.493377119,0.408294346
4,0,2,64,30000000,0,0.160513636,0.202430222
4,0,2,64,30000000,5,0.166376759,0.203674824
4,0,2,64,30000000,10,0.182386636,0.201730446
4,0,2,64,30000000,15,0.216555702,0.204254639
4,0,2,64,30000000,20,0.294065899,0.217225488
4,0,2,64,30000000,25,0.427648153,0.246571097
4,0,2,64,30000000,30,0.488608645,0.321027271
4,0,2,64,100000000,0,0.161873201,0.203504878
4,0,2,64,100000000,5,0.166131838,0.204899432
4,0,2,64,100000000,10,0.181371961,0.198821377
4,0,2,64,100000000,15,0.217160509,0.201145633
4,0,2,64,100000000,20,0.30615703,0.208413308
4,0,2,64,100000000,25,0.423629439,0.214136476
4,0,2,64,100000000,30,0.510011796,0.242962252
4,0,2,64,300000000,0,0.161498321,0.199606126
4,0,2,64,300000000,5,0.16443738,0.1996861
4,0,2,64,300000000,10,0.181112044,0.201575496
4,0,2,64,300000000,15,0.214491363,0.202520194
4,0,2,64,300000000,20,0.260086772,0.199641115
4,0,2,64,300000000,25,0.406634877,0.208503279
4,0,2,64,300000000,30,0.5137506,0.212442019
4,0,2,64,1000000000,0,0.160603607,0.199431182
4,0,2,64,1000000000,5,0.168621041,0.199351208
4,0,2,64,1000000000,10,0.165996881,0.200795745
4,0,2,64,1000000000,15,0.2074986,0.201695457
4,0,2,64,1000000000,20,0.279275632,0.204064699
4,0,2,64,1000000000,25,0.377764115,0.200320897
4,0,2,64,1000000000,30,0.540901911,0.201450536
4,0,2,64,10000000000,0,0.159463972,0.201130638
4,0,2,64,10000000000,5,0.157854487,0.199316219
